,,,,,,,,,,,,,,,,,,,,Before Integration,,,,,,After Integration,,,,,,
Current MS Compounds,ESI Mode,Molecular Formula,CAS,Pathways,Expected RT,Peak Rating,Notes,,,Integration Notes,Gaussian smooth width (points):,Expected RT (min):,RT Half Window (sec):,Min. Peak Width (points):,Min. Peak Height:,Noise Percentage (%):,Baseline Sub. Window (min):,Peak Splitting (points):,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,
Creatine,POS,C4H9N3O2,57-00-1,"Glycine, serine, threonine metabolism; Arginine, proline metabolism ",8.05,Great,"Tall, thin peak seen in most samples and QC(I)",,,"Simple peak, tighten integration to exclude tail",1.7,8.24,30,3,5000,50,0.25,1,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Hydroxyproline,POS,C5H9NO3,51-35-4,"Arginine, proline metabolism; ABC transporters",8.00,Good,Small peak seen in most samples and QC(I). To the right of a larger peak.,,,"Simple peak, stop integration when peak begins to slope off",1.7,8.1,30,3,5000,50,0.25,1,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Aminolevulinate,POS,C5H9NO3,106-60-5,"Glycine, serine, threonine metabolism; Porphyrin, Chlorophyll metabolism; Biosynthesis of plant secondary metabolites",8.05,Good,Tall peak seen in most samples and QC(I),,,"Thin peak, integrate to just where peak begins to slope off",2,8.48,30,3,5000,50,0.25,1,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Leucine /D-Norleucine,POS,C6H13NO2,61-90-5,Branched chain amino acid degradataion; Branched chain amino acid biosynthesis,6.95,Great,Tall peak to the left of iso-Leucine seen in most samples and QC(I). Can sometimes have bad separation of the two peaks.,,,Integrate left peak only,1.7,7.18,30,3,5.00E+03,50,0.25,1,,Split,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
iso-Leucine /allo-isoLeucine,POS,C6H13NO2,73-32-5/1509-34-8,"Branched chain amino acid Degradation, Biosynthesis; Cyanoamino acid metabolism",7.15,Great,Smalle peak to the right of Leucine seen in most samples and QC(I). Can have same issue as Leucine.,,,Integrate right peak only,1.7,7.35,30,3,5000,50,0.25,1,,Split,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Ornithine,POS,C5H12N2O2,348-66-3,"Lysinuric protein intolerance; Arginine, proline metabolism; Glycine, serine metabolism; Spermidine, spermine biosynthesis; Urea cycle; Prolidase Deficiency",9.20,Good,Simple peak seen in most samples and QC(I),,,"Simple peak, integrate to just where peak begins to slope off",1.7,9.3,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Asparagine,POS,C4H8N2O3,70-47-3,"Alanine, aspartate, glutamate metabolism; Cyanamino acid metabolism; Aminoacyl-tRNA biosynthesis",8.50,Great,"Tall, thin peak seen in most samples and QC(I)",,,"Simple peak, integrate to just where peak begins to slope off",1.7,8.61,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Aspartic Acid,POS,C4H7NO4,56-84-8,"Arginine biosynthesis; Alanine, aspartate, glutamate metabolism; Glycine, serine, threonine metabolism",8.90,Good,"Tall, thin peak seen in most samples and QC(I). Can be tricky to automatically integrate the bottom right end.",,,,1.7,8.7,30,3,5000,50,0.5,9,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Homocysteine,POS,C4H9NO2S,70-47-3,"Cysteine, methionine metabolism; Sulfur metabolism; Biosynthesis of secondary metabolites",7.55,Bad,Small peak with a noisy baseline rarely seen in tissue samples.,#VALUE!,#VALUE!,"Small peak, baseline a bit noisy",1.7,7.85,30,3,750,50,0.25,9,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
S-Methylcysteine,POS,C4H9NO2Se,56-84-8,ABC Transporters,7.60,Good,"Tall, thin peak seen in most samples and QC(I). Baseline often a bit noisy",,,"Thin peak, exclude tail when integrating",1.7,7.69,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
1-Methylnicotinamide,POS,C7H9N2O,3106-60-3,"Nicotinate, nicotinamide metabolism; Bile secretion",6.90,Good,"Tall, thin peak seen in most samples. Baseline often a bit noisy",#VALUE!,#VALUE!,"Thin peak, exclude tail when integrating",1.7,7,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Tyramine,POS,C8H11NO,51-67-2,Tyrosine metabolism; Methane metabolism; Isoquinoline alkaloid biosynthesis,3.65,Okay,Somewhat noisy peak sometimes seen in tissue samples.,#VALUE!,#VALUE!,"Noisy, no defined peaks",1.7,4.72,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
4-Aminobenzoic Acid,POS,C7H7NO2,150-13-0,Aminobenzoate degradation; Folate biosynthesis; Biosynthesis of phenylpropanoids; Microbial metabolism,1.25,Good,Tall peak rarely seen in tissue samples.,#VALUE!,#VALUE!,"Some bumps near peak, stable",2,3.8,30,3,2000,50,0.25,9,,,Noisy,,,,,,Noisy,,,,,
Trigonelline,POS,C7H7NO2,535-83-1,"Nicotinate, nicotinamide metabolism",7.30,Great,"Tall, thin peak seen in surem/plasma samples and QC(I)",,,"Tall peak, baseline a bit noisy",1.7,7.4,30,3,5000,50,0.5,9,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
5C13-Aspartic Acid,POS,,,,,,,,,Integrate smaller broad peak to the right of tall peak,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
6C13-Asparagine,,,,,,,,,,Integrate tall thin peak on the left,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
7C13-Leucine,,,,,,,,,,Integrate tall peak on the left,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
7C13-iso-Leucine,,,,,,,,,,Integrate right peak only,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
1-Methylimidazole Acetate,POS,C6H8N2O2,2625-49-2,Histidine metabolism,7.65,Okay,Often noisy peak that can sometimes be seen in tissue samples.,#VALUE!,#VALUE!,,1.7,7,30,3,1.20E+05,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Imidazole Propionate,POS,C6H8N2O2,1074-59-5,Histidine metabolism,7.65,Okay,Somewhat noisy peak sometimes seen in samples.,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Spermidine,POS,C7H19N3,124-20-9,"Arginine, proline metabolism; beta-Alanine metabolism; Glutathione metabolism",N/A,N/A,Never seen in samples. If large peak appears it means the water is likely contaminated.,#VALUE!,#VALUE!,,1.7,10.12,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
4-Guanidinobutanoate,POS,C5H11N3O2,463-00-3,"Arginine, proline metabolism",8.20,Great,"Tall, thin peak seen in most samples and QC(I).",,,Stable peak,1.7,8.3,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Acetylcholine,POS,C7H16NO2,51-84-3,Glycerophospholipid metabolism; cAMP signaling pathway; Neuroactive ligand-receptor interaction,3.00,Good,Large peak sometimes seen in tissue cells,#VALUE!,#VALUE!,Broad peak with noisy baseline,,,,,,,,,,Split,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glutamine,POS,C5H10N2O3,56-85-9,Arginine biosynthesis; Purine metabolism; Pyrimidine metabolism,8.35,Great,"Tall, thin peak seen in most samples and QC(I). To the left of Lysine peak",,,Stable,1.7,8.51,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Lysine,POS,C6H14N2O2,56-87-1,Lysine biosynthesis; Lysine degradation; Biotin metabolism,9.20,Great,"Tall, thin peak seen in most samples and QC(I). To the right of Glutamine peak",,,Stable,1.7,9.21,30,3,5000,50,0.5,9,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Deoxycarnitine,POS,C7H16NO2,407-64-7,Lysine degradation; ABC Transporters,8.20,Good,"Tall, thin peak seen in most samples and QC(I). Baseline often noisy",,,"Stable, small peak to right of tall peak integrated",1.7,8.32,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glutamic acid,POS,C7H16NO2,6893-26-1,"Arginine biosynthesis; Alanine, aspartate, glutamate metabolism; Arginine, proline metabolism",8.70,Great,"Tall, thin peak seen in most samples and QC(I).",,,Single tall peak,1.7,8.88,30,3,3.00E+05,50,0.25,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Methionine,POS,C5H11NO2S,63-68-3,"Cysteine, methionine metabolism; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis",7.30,Great,"Tall, thin peak seen in most samples and QC(I).",,,Single peak with small bump to right integrated,1.7,7.48,30,3,5000,50,0.5,9,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Guanine,POS,C5H5N5O,73-40-5,Purine metabolism,6.35,Good,Simple peak often seen in tissue samples.,#VALUE!,#VALUE!,,1.7,6.42,30,3,5000,50,0.5,9,,Clean,Noisy,Co-eluting,None,Acceot,,Clean,Noisy,None,None,Accept,,
Cystamine,POS,C4H12N2S2,51-85-4,N/A,8.35,Okay,Short peak with a noisy baseline rarely seen in samples.,#VALUE!,#VALUE!,,1.7,8.88,30,2,2000,50,0.34,9,,Shoulder,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,Count the low samples bc its low all across
7C13-Glutamine,,,,,,,,,,Small peak to the left of tall thin peak,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
6C13-Glutamic Acid,,,,,,,,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
8C13-Lysine,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
6C13-Methionine,,,,,,,,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Histidine,POS,C6H9N3O2,71-00-1,Histidine metabolism; Staurosporine biosynthesis; beta-Alanine metabolism,8.75,Great,Large peak seen in most samples and QC(I). Often need to smooth the peak by a lot,,,"Broad peak, sometimes splits at the top",3,9.5,30,3,5000,50,0.5,9,,Split,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,Extend integration down to bottom of peak
Serotonin,POS,C10H12N2O,50-67-9,Tryptophan metabolism; Biosynthesis of alkaloids derived from shikimate pathway; cAMP signaling pathway,5.50,Good,Thin peak seen in most tissue samples. Often attached to another peak to the right of it.,#VALUE!,#VALUE!,Qc noisy,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
