,,,,,,,,,,,,,,,,,,,,Before Integration,,,,,,After Integration,,,,,,
Current MS Compounds,ESI Mode,Molecular Formula,CAS,Pathways,Expected RT,Peak Rating,Notes,,,Integration Notes,Gaussian smooth width (points):,Expected RT (min):,RT Half Window (sec):,Min. Peak Width (points):,Min. Peak Height:,Noise Percentage (%):,Baseline Sub. Window (min):,Peak Splitting (points):,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,
Indole-2-Carboxylic Acid,NEG,C9H7NO2,1477-50-5,N/A,2.05,Okay,Broad peak seen rarely in samples. Noisy at low concentration,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
3-Methyl-3-Hydroxyglutaric Acid,NEG,C6H10O5,503-49-1,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation,5.80,Bad,"Small, thin peak seen in some samples and QC(I). Very noisy signal",,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
PPA,NEG,C9H8O3,156-06-9,"Phenylalanine metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis; Tropane, piperidine, pyridine alkaloid biosynthesis; Biosynthesis of plant secondary metabolites",1.55,Okay,Thin peak seen in many samples. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
3-Hydroxycinnaminic Acid,NEG,C9H8O3,501-98-4,"Ubiquinone, other terpenoid-quinone biosynthesis; Tyrosine metabolism; Phenylpropanoid biosynthesis; Biosynthesis of various secondary metabolites - part 2",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
p-Coumaric Acid,NEG,C9H8O3,14755-02-3,Phenylalanine metabolism; Microbial metabolism; Degradation of aromatic compounds,1.62,Bad,Broad peak seen rarely in samples. Signal very noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Xylonate,NEG,C5H10O6,4172-44-5,"Pentose, glucuronate interconversions; Ascorbate, aldarate metabolism",N/A,N/A,Have not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Phenyllactic Acid,NEG,C8H8O2,828-01-3,"Phenylalanine metabolism; Tropane, piperidine, pyridine alkaoid biosynthesis; Biosynthesis of alkaoids derived from ornithine, lysine, nicotinic acid",2.35,Bad,"Broad, noisy peak seen in many samples and QC(I).",,,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
3-(4-Hydroxyphenyl)Propionate,NEG,C9H10O3,501-97-3,Flavonoids degradation,1.60,Okay,Broad peak seen in some samples. Has another peak attached to its right,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
Quinolinic Acid,NEG,C7H5NO4,89-00-9,"Tryptophan metabolism; beta-Alanine metabolism; Nicotinate, nicotinamide metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine, nicotinic acid",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
PEP,NEG,C3H5O6P,138-08-9,"Glycolysis, gluconeogenesis; TCA cycle; Phenylalanine, tyruosine, tryptophan biosynthesis; Phosphonate, phosphinate metabolism",8.95,Okay,Tall thin peak seen in some tissue samples. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Homogentisate,NEG,C8H8O4,451-13-8,"Ubiquinone, other terpenoid-quinone biosynthesis; Tyrosine metabolism; Styrene degradation; Microbial metabolism",2.50,Good,Broad peak seen in some tissue samples.  Baseline somewhat noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Urate,NEG,C5H4N4O3,69-93-2,Purine metabolism; Microbial metabolism; Bile secretion,7.30,Great,"Tall, thin peak seen in most samples and QC(I). ",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
DHAP/D-GA3P,NEG,C3H7O6P,57-04-5,"Glycolysis, gluconeogenesis; Pentose, glucuronate interconversions; Fructose, mannose metabolism",7.40,Okay,Broad peak seen in some samples. To the right of the urate peak,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glycerol-3-P,NEG,C3H9O6P,57-03-4,Glycerolipid metabolism; Glycerophospholipid metabolism; Biosynthesis of secondary metabolites; ABC Transporters; Choline metabolism in cancer,8.15,Okay,"Tall, thin peak seen in many samples and QC(I). Baseline fairly noisy",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
trans-Aconitate,NEG,C6H6O6,4023-65-8,C5-Branched dibasic acid metabolism,7.60,Okay,Tall peak seen in a few samples. Baseline usually a bit noisy,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,
Shikimic Acid,NEG,C7H10O5,138-59-0,"Phenylalanine, tyrosine, tryptophan biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
cis-Aconitate,NEG,C6H6O6,585-84-2,"TCA cycle; Glyoxylate, dicarboxylate metabolism; C5-Branched dibasic acid metabolism",5.85,Okay,Tall peak seen in some samples. Baseline usually noisy,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,
Suberic Acid,NEG,C8H14O4,505-48-6,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation,2.60,Okay,"Tall, thin peak seen in many samples and QC(I). RT can shift around a lot. Baseline fairly noisy",,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,
Indole-3-Acetic Acid,NEG,C10H9NO2,87-51-4,Tryptophan metabolism; Biosynthesis of plant hormones; Plant hormone signal transduction,1.60,Good,"Tall, thin peak seen in most serum/plasma samples and QC(I). Baseline slightly noisy",,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Stable,None,None,Accept,,
Citrulline,NEG,C6H13N3O3,372-75-8,Arginine biosynthesis; Biosynthesis of various secondary metabolites - part 3; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,8.05,Great,Tall thin peak seen in most samples and QC(I),,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
N-Acetyl-Aspartate (NAA),NEG,C6H9NO5,997-55-7,"Alanine, aspartate, glutamate metabolism",7.50,Okay,Thin peak seen in many samples and QC(I). Peak to the right of another tall peak. Baseline a bit noisy,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Ascorbic Acid (Vit. C),NEG,C6H8O6,50-81-7,"Ascorbate, aldarate metabolism; Glutathione metabolism; Biosynthesis of secondary metabolites",6.75,Good,"Tall, thin peak seen in some samples. Peak to the right of another tall peak",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
2-isoPropylmalic Acid,NEG,C7H12O5,3237-44-3,Branched chain amino acid biosynthesis; Pyruvate metabolism; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids,2.85,Okay,Small peak attached to the left side of the peak seen in QC(I). Noisy baseline,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
1C13-Citrulline,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
3-isoPropylmalic Acid,NEG,C7H12O5,921-28-8,Branched chain amino acid biosynthesis; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
n-Formylmethionine,NEG,C6H11NO3S,4289-98-9,"Cysteine, methionine metabolism",3.80,Good,Short peak seen in some samples and QC(I). Baseline slightly noisy,,,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Hippuric Acid,NEG,C9H9NO3,495-69-2,Phenylalanine metabolism,3.65,Great,"Tall, broad peak seen in most samples and QC(I). ",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Inositol,NEG,C6H12O6,3458-28-4,"Galactose metabolism; Ascorbate, aldarate metabolism; Streptomycin biosynthesis",8.05,Great,"Tall, thin peak seen in most samples and QC(I). Baseline slightly noisy",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glucose,NEG,C6H12O6,50-99-7,"Glycolysis, gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Starch, sucrose metabolism",6.50,Good,Series of peaks seen in most samples and QC(I). Glucose is the only sugar we measure. (do not integrate anything for mannose and fructose),,,,,,,,,,,,,Tailing,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Mannose,NEG,C6H12O6,3458-28-4,"Fructose, mannose metabolism; Galactose metabolism; Amino sugar, nucleotide sugar metabolism; ABC Transporters; Phosphotransferase system; Lysosome; C-type lectin recepter signaling pathway",N/A,N/A,Do not integrate,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Fructose,NEG,C6H12O6,53188-23-1,"Fructose, mannose metabolism; Galactose metabolism; Starch, sucrose metabolism; Biosynthesis of secondary metabolites; Microbial metabolism",N/A,N/A,Do not integrate,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
OH-Phenylpyruvate,NEG,C9H8O4,156-39-8,"Ubiquionone, other terpenoid-quinone biosynthesis; Monobactam biosynthesis; Tyrosine metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Theophylline,NEG,C7H8N4O2,58-55-9,"Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine",1.60,Great,"Tall, thin peak seen in some samples and QC(I).",,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Sorbitol,NEG,C6H14O6,50-70-4,"Fructose, mannose metabolism; Galactose metabolism; ABC Transporters; Phosphotransferase system",5.95,Bad,Center peak seen in many samples and QC(I). Noisy baseline and RT can shift around a lot,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Homovanilate,NEG,C9H10O4,306-08-1,Tyrosine metabolism; Dopaminergic synapse,2.00,Bad,Small peak seen in some tissue samples. Very noisy signal,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Mannitol,NEG,C6H14O6,69-65-8,"Fructose, mannose metabolism; ABC Transporters; Phosphotransferase system",6.15,Okay,Small peak seen in some tissue samples. Attached to the right of a much larger peak.,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
4-Pyridoxic Acid,NEG,C8H9NO4,82-82-6,Vitamin B6 metabolism; Microbial metabolism,1.60,Good,Tall thin peak seen in many samples and QC(I). Baseline a bit noisy and has a samll peak attached to its right,,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Phosphoserine,NEG,C3H8NO6P,407-41-0,"Glycine, serine, threonine metabolism; Cysteine, methionine metabolism; Methane metabolism",10.20,Bad,Broad peak seen in some samples. Peak usually not stable.,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
6C13-Glucose,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
2/3-Phosphoglyceric Acid,NEG,C3H7O7P,2553-59-5,"Glycolysis, gluconeogenesis; Pentose phosphate pathway; Glycine, serine, threonine metabolism; Cysteine, methionine metabolism",9.75,Okay,Tall peak seen in some samples. May need to combine two peaks when integrating,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Azelaic Acid,NEG,C9H16O4,2553-59-5,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation,2.20,Good,"Tall, thin peak seen in most samples and QC(I).",,,,,,,,,,,,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
N-Ac-L-Glutamine,NEG,C7H12N2O4,2490-97-3,NA,6.85,Bad,Broad peak seen in many samples. Peak shape greatly changes between studies,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Kynurenic Acid,NEG,C10H7NO3,492-27-3,Tryptophan metabolism,4.50,Bad,Left peak of the two usually shown in some samples. Broad peak and noisy signal,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
N-Ac-Glutamate,NEG,C7H11NO5,1188-37-0,Argenine biosynthesis; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids,7.55,Okay,Small peak to the very right of several peaks seen in many samples and QC(I).,,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Indole-3-Propionate,NEG,C11H11NO2,830-96-6,Tryptophan metabolism,1.45,Okay,Tall thin peak seen in most samples and QC(I). Noisy baseline,,,,,,,,,,,,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
5-Hydroxyl-Indole-3-Acetic Acid,NEG,C10H9NO3,54-16-0,Tryptophan metabolism; Serotonergic synapse,2.90,Okay,Broad peak rarely seen in tissue samples.,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
N-Ac-Methionine,NEG,C7H13NO3S,65-82-7,misacylated tRNA editing; Arg/N-end rule pathway; ?-glutamyl cycle; ,3.60,Good,Tall broad peak seen in most tissue samples. Baseline can get really noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Citric Acid,NEG,C6H8O7,77-92-9,"TCA cycle; Alanine, aspartate, glutamate metabolism; Glyoxylate, dicarboxylate metabolism",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Glucoronate,NEG,C6H10O7,6556-12-3,"Pentose, glucuronate interconversions; Ascorbate, aldarate metabolism; Amino sugar, nucleotide sugar metabolism; Inositol phosphate metabolism",8.55,Good,Tall peak seen in most samples and QC(I).,,,,,,,,,,,,,Tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
4-Hydroxy-3-Nitrophenylacetate,NEG,C8H7NO5,N/A,NA,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Vanilmandelic Acid,NEG,C9H10O5,55-10-7,Tyrosine metabolism,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Erythrose-4-Phosphate,NEG,C4H9O7P,585-18-2,"Pentose phosphate pathway; Phenylalanine, tyrosine, tryptophan metabolism; Carbon fixation in photosynthetic organisms; Vitamin B6 metabolism",8.60,Bad,Small peak seen in some samples surrounded by many other peaks. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Cysteine-S-Sulfate,NEG,C3H7NO5S2,1637-71-4,"Cysteine, methionine metabolism; Biosynthesis of amino acids",7.10,Okay,Tall thin peak seen in most serum/plasma samples and QC(I). Baseline fairly noisy,,,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
IndolePyruvate,NEG,C11H9NO3,35656-49-6,Tryptophan metabolism,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Xanthurenic Acid,NEG,C10H7NO4,59-00-7,Tryptophan metabolism,5.80,Okay,Tall peak seen in many samples and QC(I). Very noisy signal,,,,,,,,,,,,,Tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Indole-3-Lactate,NEG,C11H11NO3,1821-52-9,NA,6.70,Good,Tall broad peak seen in many samples and QC(I). Might be made of several peaks,,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
N-Ac-Phenylalanine,NEG,C11H13NO3,2018-61-3,Phenylalanine metabolism,3.20,Bad,Small broad peak seen in a few samples. Unstable peak shape and noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
3-Indoxyl Sulfate,NEG,C8H7NO4S,487-94-5,NA,1.45,Great,Tall thin peak seen in most samples and QC(I),,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Pantothenate,NEG,C9H17NO5,79-83-4,"beta-Alanine metabolism; Pantothenate, CoA biosynthesis; Biosynthesis of secondary metabolites; Vitamin digestion, absorption",4.50,Great,Tall thin peak seen in most samples and QC(I),,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Cystathionine,NEG,C7H14N2O4S,56-88-2,"Glycine, serine, threonine metabolism; Cysteine, methionine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of amino acids",10.15,Good,Tall peak seen in many samples.,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
N-Ac-Tyrosine,NEG,C11H13NO4�,537-55-3,NA,4.55,Good,Tall broad peak seen in many samples.,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
4C13-Pentothenate,,,,,,,,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Myristic Acid,NEG,C14H28O2,544-63-8,Fatty acid biosynthesis,1.55,Bad,Peak seen in some samples. Unstable peak shape and very noisy signal,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Ribose-5-P,NEG,C5H11O8P,3615-55-2,"Pentose phosphate pathway; Purine metabolism; Phosphonate, phosphinate metabolism; Carbon fixation in photosynthetic organisms",8.60,Good,Large peak seen in many samples. To the right of the ribulose 5-phosphate peak.,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Ribulose 5-Phosphate,NEG,C5H11O8P,4151-19-3,"Pentose phsohpate pathway; Pentose, glucuronate interconversions; Lipopolysaccharide biosynthesis; Methane metabolism",8.35,G,Large peak seen in many samples. To the left of the ribose-5-p peak,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Melatonin,NEG,C13H16N2O2,73-31-4,Tryptophan metabolism; Neuroactive ligand-receptor interaction; Circadian entrainment,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Tetrahydrobiopterin,NEG,C9H15N5O3,17528-72-2,"Folate biosynthesis; Fluid shear stress, atherosclerosis",1.45,Okay,Broad peak seen in some tissue samples. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Thymidine,NEG,C10H14N2O5,50-89-5,Pyrimidine metabolism,2.00,Good,Very broad dual peak seen in some samples. ,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Pseudouridine,NEG,C9H12N2O6,1445-07-4,Pyrimidine metabolism,5.40,Great,Tall peak seen in many samples and QC(I),,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Biotin,NEG,C10H16N2O3S,58-85-5,"Biotin metabolism; ABC Transporters; Vitamin digestion, absorption",3.15,Great,Tall broad peak seen in many samples and QC(I).  ,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
N-Ac-Tryptophan,NEG,C13H14N2O3,1218-34-4,NA,3.30,Okay,Broad peak seen in some plasma samples. Peak shape can change between studies,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Pyridoxal-5-P,NEG,C8H10NO6P,54-47-7,"Thiamine metabolism; Vitamin B6 metabolism; Vitamin digestion, absorption",8.50,Good,"Tall, thin peak seen in some tissue samples. Some other peaks seen to the left of it",#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Palmitic Acid,NEG,C16H32O2,57-10-3,"Fatty acid biosynthesis; Fatty acid elongation; Fatty acid degradation; Cutin, suberin, wax biosynthesis",1.25,Good,"Tall, thin peak seen in most samples and QC(I). Baseline a bit noisy",,,,,,,,,,,,,Shoulder,Noisy,Co-eluting,None,Accept,,Clean,Noisy,None,None,Accept,,
5-Methyluridine,NEG,C10H14N2O6,1463-10-1,NA,2.70,Okay,Broad peak seen in some tissue samples. Many other peaks surround it,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
5-Hydroxymethyl-2'-Deoxyuridine,NEG,C10H14N2O6,5116-24-5,NA,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Glucosamine-6-Phosphate,NEG,C6H14NO8P,3616-42-0,"Alanine, aspartate, glutamate metabolism; Amino sugar, nucleotide sugar metabolism; Phosphotransferase system; Insulin resistance",11.15,Okay,Tall broad peak seen in many tissue samples. Fairly noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
G6P,NEG,C6H13O9P,56-73-5,"Starch, sucrose metabolism; Streptomycin biosynthesis; Neomycin, kanamycin, gentamicin biosynthesis; Inositol phosphate metabolism",9.75,Good,Rightmost of three peaks. Seen in most samples,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
G1P/F1P/F6P,NEG,C6H13O9P,59-56-3/15978-08-2/643-13-0,"Fructose, mannose metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis; Microbial metabolism; Phosphotransferase system",9.40,Good,Center of the three peaks. Seen in most samples,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Phenylacetylglutamine,NEG,C13H16N2O4,28047-15-6,Phenylalanine metabolism,4.95,Great,Tall broad peak seen in many samples and QC(I),,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
MOPEG Sulfate,NEG,C9H12O7S,3415-67-6,NA,2.00,Bad,Tall peak with another peak attached to its left. Unstable peak shape,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Margaric Acid,NEG,C17H34O2,506-12-7,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,1.25,Okay,Tall peak with another peak attached to its right. Fairly noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
6-Phosphogluconic Acid,NEG,C6H13O10P,921-62-0,Pentose phosphate pathway; Biosynthesis of secondary metabolites; Microbial metabolism; Carbon metabolism,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Linolenic Acid,NEG,C18H30O2,463-40-1,alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids; Biosynthesis of plant secondary metabolites; Biosynthesis of plant hormones; Biosynthesis of secondary metabolites,N/A,N/A,Not seen in samples. Visible peak is from Linoleic Acid,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Linoleic Acid,NEG,C18H32O2,60-33-3,Lenoleic acid metabolism; Biosynthesis of unsaturated fatty acids; Biosynthesis of plant secondary metabolites,1.25,Great,Tall thin peak seen in most samples and QC(I),,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Xanthosine,NEG,C10H12N4O6,146-80-5,"Purine metabolism; Caffeine metabolism; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of secondary metabolites; ABC Transporters",6.00,Good,Tall peak seen in many samples and QC(I). Noisy baseline,,,,,,,,,,,,,Clean,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Sedoheptulose 7-Phosphate,NEG,C7H15O10P,2646-35-7,Pentose phosphate pathway; Lipopolysaccharide biosynthesis; Carbon fixation in photosynthetic organisms; Biosynthesis of secondary metabolites,9.35,Good,Tall broad peak seen in most tissue samples.  ,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Retinoic Acid,NEG,C20H28O2,302-79-4,Retinol metabolism; Th17 cell differentiation; Intestinal immune network for IgA production; Pathways in cancer; Small cell lung cancer; Non-small lung cancer; Gastric cancer,1.30,Okay,Thin peak seen in some samples. Noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
N-Acetyl-Aspartyl-Glutamate (NAAG),NEG,C11H16N2O8,3106-85-2,"Alanine, aspartate, glutamate metabolism; Neuroactive ligand-receptor interaction",8.55,Okay,Tall thin peak seen in most samples and QC(I). Very noisy baseline,,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Arachidonate,NEG,C20H32O2,506-32-1,Arachidonic acid metabolism; Linoleic acid metabolism; Biosynthesis of unsaturated fatty acids; Ferroptosis; Necroptosis,1.20,Great,Tall thin peak seen in most samples and QC(I),,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
DCMP,NEG,C9H14N3O7P,1032-65-1,Pyrimidine metabolism,8.65,Good,Tall thin peak seen in most tissue samples,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Reduced Glutathione,NEG,C10H17N3O6S,70-18-8,"Cysteine, methionine metabolism; Glutathione metabolism; ABC Transporters; Ferroptosis; Thyroid hormone synthesis; Bile secretion",8.55,Good,Tall peak seen in most samples. Fairly noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
DUMP,NEG,C9H13N2O8P,964-26-1,Pyrimidine metabolism; Antifolate resistance,7.85,Okay,Tall broad peak seen rarely in tissue samples. Can be very noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
N-Acetylneuraminate,NEG,C11H19NO9,19342-33-7,"Amino sugar, nucleotide sugar metabolism",8.10,Good,Tall thin peak seen in most samples and QC(I),,,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
